smiles,ChEMBL_ID,activity_IC50,binding_score
C[C@H]1CN(CCN1C(=O)OCc1ccccc1)c1ccc(cn1)C(=O)Nc1ccccc1N,CHEMBL236902,50000.0,-6.38634
Cc1cccc(NC(=O)c2cc(Oc3cncc(F)c3)cc(C)n2)n1,CHEMBL4076771,30000.0,-10.40512
CN([C@H](CN1CC[C@H](O)C1)c1ccccc1)C(=O)Cc1ccc(CNS(=O)(=O)Cc2cccs2)cc1,CHEMBL370538,4776.0,-9.63218
CCCC1(CCCN1)C(=O)c1ccc2[nH]ccc2c1,CHEMBL1224164,300.0,-9.03824
FC(F)(F)c1ccc(cc1)C(=O)N1CCC2(CC1)CCc1ccccc1O2,CHEMBL524992,10000.0,-11.5327
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,CHEMBL17157,,-11.66334
[Na+].[O-][As]=O,CHEMBL1909078,,-2.06185
COc1cc2CCN(C(=O)Nc3cc(OC(F)(F)F)cc(c3)-c3cccnc3)c2cc1C(F)(F)F,CHEMBL586213,13000.0,-9.68454
CCS(=O)(=O)n1c2CCN(Cc2c2cc(ccc12)C(=O)N1CCC(C)CC1)C1CCOCC1,CHEMBL1950351,20000.0,-9.11419
C[C@H](F)[C@H]1OC(N)=N[C@@](C)([C@H]1F)c1cc(NC(=O)c2cnc(OCF)cn2)ccc1F,CHEMBL4225154,1000.0,-10.07353
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CSc1cccc(CO)c1,CHEMBL3291120,25000.0,-10.88035
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CSc1cncc(CO)c1,CHEMBL3291124,25000.0,-10.34118
Cl.COCCOc1ccccc1N1CCN(CC1)C(=O)[C@@]1(CCCN([C@@H]1CCO)C(=O)c1cnccc1C(F)(F)F)Oc1ccc(cc1)C(F)(F)F,CHEMBL3288451,30000.0,-4.9416
Nc1nc2ccc(cc2s1)C(=O)NCc1ccccc1,CHEMBL4469761,10000.0,-9.51239
