,smiles,ChEMBL_ID,activity_IC50,binding_score
60,COc1ncc(cc1NS(=O)(=O)c1ccc(F)cc1F)-c1cc(O[C@@H]2CCOC2)c2nc(N)nc(C)c2c1,CHEMBL4176771,4.0,-11.18285
61,OC(=O)CN1CCC2(CC1)CCN(CC2)c1ccc(cn1)-c1nc2cc(ccc2[nH]1)C(F)(F)F,CHEMBL4105361,4.698970004336019,-9.85166
62,OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(cn1)-c1ccc(OCC(F)(F)F)cc1,CHEMBL4211628,4.060697840353612,-11.08616
63,OC(=O)CC1CCC2(CCN(CC2)c2ccc(cn2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)OC1,CHEMBL4060355,4.40823996531185,-9.97392
64,Nc1nc2ccc(SCc3ccccc3)cc2s1,CHEMBL4475811,4.3979400086720375,-7.61966
65,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1-c1ccc(=O)n(C)c1,CHEMBL3922838,3.9542425094393248,-9.96124
66,Cl.Cl.CCc1ccncc1-c1ccc(CN)o1,CHEMBL4173133,4.770852011642144,-6.90454
67,O=C(\\C=C\\c1cccc2ccccc12)c1ccncc1,CHEMBL1568243,4.301029995663981,-8.51703
68,OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(cn1)-n1cnn(C2CCCCC2)c1=O,CHEMBL4214518,4.217483944213907,-10.98515
69,CCc1sc2ncnc(N[C@H](Cc3ccccc3)C(O)=O)c2c1-c1ccc(OCCN2CCN(C)CC2)c(Cl)c1C,CHEMBL4451346,4.301029995663981,-9.96179
70,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@H](N1CC(C)(F)F)c1c(F)cc(\\C=C\\C(O)=O)cc1F,CHEMBL4436187,3.8195439355418688,-9.93882
71,Cc1ccc(cc1-c1ccc2c(NC(=O)C22CCCC2)c1)C(=O)NC1CC1,CHEMBL1800911,4.0,-10.4228
72,O=C(Cc1c[nH]cn1)N1CCC(CC1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCCCC1,CHEMBL2158293,2.5185139398778875,-10.31412
