smiles,ChEMBL_ID,activity_IC50,binding_score
OC(=O)CN1CCC2(CC1)CCN(CC2)c1ccc(cn1)-c1nc2cc(ccc2[nH]1)C(F)(F)F,CHEMBL4105361,50000.0,-9.85166
OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(cn1)-c1ccc(OCC(F)(F)F)cc1,CHEMBL4211628,11500.0,-11.08616
OC(=O)CC1CCC2(CCN(CC2)c2ccc(cn2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)OC1,CHEMBL4060355,25600.0,-9.97392
Nc1nc2ccc(SCc3ccccc3)cc2s1,CHEMBL4475811,25000.0,-7.61966
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1-c1ccc(=O)n(C)c1,CHEMBL3922838,9000.0,-9.96124
Cl.Cl.CCc1ccncc1-c1ccc(CN)o1,CHEMBL4173133,59000.0,-6.90454
O=C(\\C=C\\c1cccc2ccccc12)c1ccncc1,CHEMBL1568243,20000.0,-8.51703
OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(cn1)-n1cnn(C2CCCCC2)c1=O,CHEMBL4214518,16500.0,-10.98515
CCc1sc2ncnc(N[C@H](Cc3ccccc3)C(O)=O)c2c1-c1ccc(OCCN2CCN(C)CC2)c(Cl)c1C,CHEMBL4451346,20000.0,-9.96179
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@H](N1CC(C)(F)F)c1c(F)cc(\\C=C\\C(O)=O)cc1F,CHEMBL4436187,6600.0,-9.93882
Cc1ccc(cc1-c1ccc2c(NC(=O)C22CCCC2)c1)C(=O)NC1CC1,CHEMBL1800911,10000.0,-10.4228
O=C(Cc1c[nH]cn1)N1CCC(CC1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCCCC1,CHEMBL2158293,330.0,-10.31412
CC(C)OC(=O)N1CCC2(CC(CCCOc3ccc(C(=O)N4CCC4)c(F)c3)C2)CC1,CHEMBL4226885,10000.0,-9.51283
CC(C)OC(=O)N1CCC2(CC(CCCOc3ccc(C(=O)NCC(N)=O)c(F)c3)C2)CC1,CHEMBL4227435,,-8.8786
COc1cccc(\\C=C\\C(=O)c2ccncc2)c1,CHEMBL4212722,10000.0,-7.43551
CN1C[C@H]2CCC[C@]2(C1)c1ccc2ccccc2c1,CHEMBL1813485,,-8.7073
Cc1csc(n1)C12C[C@]1(CCNC2)c1ccc(Cl)c(Cl)c1,CHEMBL1818445,6000.0,-7.3036
CC(C)(C)CNc1nc(nc(N2CCOCC2)c1N)C#N,CHEMBL471757,10000.0,-6.72917
CNCCC=C1c2ccccc2CCc2ccccc12,CHEMBL445,,-8.74022
CCCCNc1nc(N)nc2cccc(C(=O)NCc3ccccc3)c12,CHEMBL4213687,10000.0,-8.44881
O=C(Nc1ccc(cc1C1=CCCCC1)C1CCN(CCN2CCOCC2)CC1)c1ncc([nH]1)C#N,CHEMBL2158230,10000.0,-10.13973
Cc1ccc(-c2cc(Br)ccc2OCc2ccc(F)cc2)n1-c1cccc(c1)C(O)=O,CHEMBL208791,3900.0,-10.42887
CCCCc1ccc(N\\C=N\\O)cc1,CHEMBL103313,8800.0,-6.56826
Fc1cc(NC2CCOC2)c(Cl)cc1S(=O)(=O)Nc1nccs1,CHEMBL4097000,20000.0,-7.22328
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1C1CCOCC1,CHEMBL3948167,10000.0,-9.96452
Oc1ccc(CNc2[nH]nc(c2-c2ccc(O)cc2)-c2ccc(O)cc2)cc1,CHEMBL3805279,25000.0,-9.60603
CCn1cnc(c1)-c1cccnc1,CHEMBL361364,75200.0,-6.01529
